,Date & Time,Event Category,Status,Location,Image / Video,Remarks
"09/03/2025, 3:37 PM",Behavioural Analytics - Crowd Gathering,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756894077023_52d0be7b-bd01-441a-85fc-a3ffd119be07.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/52d0be7b-bd01-441a-85fc-a3ffd119be07_0031-270900000.ts.mp4",
"09/03/2025, 3:36 PM",Vehicle Control - Vehicle-Vehicle Interation,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756893990804_52d0be7b-bd01-441a-85fc-a3ffd119be07.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/52d0be7b-bd01-441a-85fc-a3ffd119be07_0031-261900000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T100655Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=aaf685c8a939c6da1f3d7707497732d24a01fb9f1fdddb4c8db7b202be89f25d1e2c27fbdbb3dd1576b2d0fd52c9884cae58000dae2f134c7875dfdea4a2e8d2b9cb0dd73b29ba4903b72d56aa748029fab6f7eadf0769a6ba93c5d01d16e47910b03854d3752917a58ac9d9171f237b78b48da47da652c8a93f8bf60937ef582899a453337d496e76ab910c05ab9304563d846d092460135bbf6556f8018edb4feb0a8cdcc22767ae0f321527a90054b9f0889aa9d9f61aeb9892a8f1d1980df1298d9aace6dbf1a07044680ca2026da0ba71bb0ed8fd9cf1bcc9544678f581df44ddc6ba4f63519c7c52c1b08a5a32015694fde71237c207142a6b29bd011b",
"09/03/2025, 3:35 PM",Behavioural Analytics - Running,COMPLETED,camera_0038,O.B_Gr.F_Boys Washroom,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756893935433_cada8a65-16db-45ec-8010-b0d76e0596ac.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/cada8a65-16db-45ec-8010-b0d76e0596ac_0038-258120000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T100559Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=75031b6f48b3b4353286a2a0c2dbb0607556d29914b178a459d22d20685551cb0a4821181a1987502ab5abc221467986946721d90e07df0be65206b5dd2aa7cb3f9b62433a088bfd270acad3e9a0963babad0e64ebae5326df09a344d38236f752e1602414e681ac87e4c6d58f11825d0fe37e0e3d15c0b96e4bf2735cd77a4128e9be396e45bdde23e6e7ee356070bd0a067aa812f9acd8acc10771f4d1317359dcc2992ca6e65cf341498fde36b3a8ebe58732c362f2539de3bfdb5bd2870e516e1a52f7d79a33075510a2744dd26083351f4327dcff36498f84c387b1a6b68d876f2db1e69793ffd0c7ea95779eaba02419ef365dc0622a54bf830788d2ea",
"09/03/2025, 3:34 PM",Vehicle Control - Vehicle-Vehicle Interation,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756893861693_52d0be7b-bd01-441a-85fc-a3ffd119be07.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/52d0be7b-bd01-441a-85fc-a3ffd119be07_0031-239220000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T100446Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=2927f2545625867d812fb3e9819c7480a18932a4e243bfa0b4293a22277499b8615d1f5e2064fa652f6c2d1a1e4c59168990381aa54c8116f3145ade92ef87a6ebb9477e7fce3697271d3b85fd273f05a3a8f6e5cd7065f0d88321902366ee8f223e3707e7c9405f252cebd293631ca94e6369f7a494694632445531127e4ffb74ee9fcb52d63c5463d7e784825aa391eb1456ad83392ae18a5d55db5ad9c33dadf42f9866d763cade3937dc9f0635f4ccd03a5f45b9f0635b98ece5f632b2aa2f531635d9716ecb7b325e19f78d06212b14696bbb2b88ca34530f9da39f24bab9b49d5337b4f2865996441a22b312d2f7a0dbaeb0e5de4152cfd3cfe46bc76b",
"09/03/2025, 3:33 PM",Vehicle Control - Person-Vehicle Interaction,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756893837841_52d0be7b-bd01-441a-85fc-a3ffd119be07.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/52d0be7b-bd01-441a-85fc-a3ffd119be07_0031-248940000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T100423Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=aa2c8905a190333841ffee785ef89fa5bb6138f30c8418c5155b21491ab96425177f02e7cbe1d67a38d9fe54c0327e770a0ae342ebf8d91bcad77522999d1ea1172b3bea5d3a5b2b5bc0ea3fdfaa1419476e04ee75a52b4b71db88655b739aeb5a826b7083dfa314c33180278c88059e44bb756aac5162c78e776967fc3ca407572056c70d129db61eff4b0f299ddefb4c6965c8c540bd94aa415c3fdc0eba14dca1bfecd00b796101013f3e8b10c063f48193faca00bc80d5dcaf6f3386df49ab30334157e055f790f6ea492b568a4683a06fce6e484880bd04279df0b164ee615096d7e752d6a207cda278d4b5f00e088e094a6caeec0f192ee3c2f1b9aa61",
"09/03/2025, 3:32 PM",Vehicle Control - Person-Vehicle Interaction,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756893749903_52d0be7b-bd01-441a-85fc-a3ffd119be07.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/52d0be7b-bd01-441a-85fc-a3ffd119be07_0031-240840000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T100255Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=11db2850216db0aa995e73be37eb26767734e593513a7e46930606f8da3638dd4f18291340cb8911c044554a706a732069a358274eaf946d2a92317ff848a25e3174da055f436f8f7a3ed9f71af4892253a8522049b2c83691e66e4f1a61afbef74cc159102ad1f17833dca5567f25add4707ed994987b4e0161e0832c3e38f7aa285d1851d3add5914911b228aff9aa7503c342a5b0bd973242a4b204c1acfcdc6ac130cc0b6a36b4c43e475a2019de2a0e57b6cf334affd3fe91d0819102f54546201202715dcc9b439aa953059d92555f67730951645f0d758d08fade6f7ba44038b7f941efa227c14c30b227a81f76f9fe9cdeb36466a9dacf3cfd04b0b6",
"09/03/2025, 3:31 PM",Vehicle Control - Person-Vehicle Interaction,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756893680426_52d0be7b-bd01-441a-85fc-a3ffd119be07.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/52d0be7b-bd01-441a-85fc-a3ffd119be07_0031-230400000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T100145Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=3513ff081bfc5f008ada5bf5377e871d29118900a04353823ef601668db925e2217772e9eec750329cb12116e1d134cde8db93775d39025bb32399b0f566a91b907b551b5d8a74a38e2c01190896c2d96739ac2cdf396003c2d4a3ee2d495182d7fed18322732e670c7cdb10e2a0afe9b04c184ca7a53d5aae5698c33059fdb716502b98ea3d6729c0f27dde5cf75bd3a8cc59d7270cfd544ad34041208b38e499535c236dace577b0d81c5b115a87e31750651bcf48e1884da30537bd8b63339a9c2152185747f36ef9334ddc7df07595974e1f94f4eac30d7111012e2159d2767e4e2899fb78ce3eb1a1863a65ae247660749aafae5179743524c89609ded5",
"09/03/2025, 3:31 PM",Vehicle Control - Stray Parking,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/ai_labelled/52d0be7b-bd01-441a-85fc-a3ffd119be07_4efb6d78-d259-4773-bccf-7f6961980c73.jpeg
Video: https://storage.googleapis.com/profile-images-123/tatva_global_clips/6d7783dd-61b1-489c-92b9-0635dfc26e48.mp4",
"09/03/2025, 3:30 PM",Behavioural Analytics-Crowd Gathering,COMPLETED,camera_0039,O.B_Gr.F_Atrim_1,"Image: https://storage.googleapis.com/profile-images-123/ai_labelled/7fe166ce-02af-432d-ac1a-1cfb04a4a211_f485b04f-e78f-47f1-888c-82d8078ec8aa.jpeg
Video: https://storage.googleapis.com/profile-images-123/tatva_global_clips/08e44f78-8e5e-40b1-86b0-ca1bb3b216cb.mp4",
"09/03/2025, 3:29 PM",Behavioural Analytics - Crowd Gathering,COMPLETED,camera_0039,O.B_Gr.F_Atrim_1,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756893578050_7fe166ce-02af-432d-ac1a-1cfb04a4a211.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/7fe166ce-02af-432d-ac1a-1cfb04a4a211_0039-224640000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T100003Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=2e918c861ba532a72d021f970c31fc4205ef7bbb0c407c00971840db30742de9a39ed89b2fb188e105fc0cb4b0cb60f9a1f581ef91a50a3fa2f9025a9c0cb032eca4c390b3af0ec37a2fc39a8e2a0b966f9c0fcefbf5e3758fe9d199220d6ffa163ac48dc34db89762e5437ec08d69eced543e2974b415f3204bbd93860f4a1e50f3b8badcc4c1191bfd7f700320ac2cca1ab04e121c2cf093396179185ef7d6bfb3288bb64182e36fdb1c70cda45488b0a1c6410b6c391b609aa8884f1ac48040c7ad36105e5c984b05940009e302a4c437d84641195c2d7ffafe7a80bd640a5d09312d8f4cbadddeb34d4081b27c8839e82487afb5ef8d181448850422249b",
"09/03/2025, 2:29 PM",Behavioural Analytics - Running,COMPLETED,camera_0037,O.B_Gr.F_Wash room,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756889990062_3b3d91a1-12b9-49b4-b6c9-9be1af07ef66.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/3b3d91a1-12b9-49b4-b6c9-9be1af07ef66_0037-24300000.ts.mp4",
"09/03/2025, 2:29 PM",Behavioural Analytics - Running,COMPLETED,camera_0032,Middle Gate Pathway-2,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756889946607_c986c1db-7c97-4843-9b7d-1ec4c4755e78.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/c986c1db-7c97-4843-9b7d-1ec4c4755e78_0032-22140000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T085930Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=88cae7e9b1fd8c447228ed64ed16977f32b2d73e78d1b7ee01b7864034b0c506f81db922451f0eadcbc7070d9a61cbb50874ec4e7dca0b6bf1c91119036ebcdd493bcd4fd2917b166b30a15a5b4acea1f6550588cbe032819ea26d99aba4284b9994d7d2cbd5ec6727fabc060cd65a24b30c8cbc9fdfd69baddc78e7390dda46a98f342e6bcef6607a66e901f5a79e65b7abf43ec8cabc332f8bd308c14b9c48ad6744a641ca099acddd330ab152c391bd49b290526890fb3f49a8e1b15faae7a42cfa05717bf466b81e73d6af2b0b4ef71e7ad2f2cfd68efa7d4c65b97a1566ada7f50c4ab54b385eb9440b9f343154359de6dfedd65795020ccb1f9ca778c3",
"09/03/2025, 2:07 PM",Behavioural Analytics - Crowd Gathering,COMPLETED,camera_0038,O.B_Gr.F_Boys Washroom,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756888663299_cada8a65-16db-45ec-8010-b0d76e0596ac.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/cada8a65-16db-45ec-8010-b0d76e0596ac_0038-28218317940.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T083807Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=996d68edd2dd5a7351809a7ed2a72d3dd108df01ebbd1eba4ac5f1073d13ed296e6fb08297614be8a5a9dbef7ca17b7b9e2e47ee82e422ef6d3928fa4f812cfc27f79eb84134d300ba284603c8dbd9de9cabf4935f0a27fe0e969091ec3931d53d4372ac34d05e3cffba75f1fb0f705facb9ad267e58464d1f36ad20c2467f4bb79685c6f086c58d222b86d303f46e34a5350b0d9c3d1b841c7ddbcdf708f835ffe679e70c3fbc3392d061bb5aa0b5ec5ebd2cf7629f9ba5a57f6d63f1dbf2bf10ccc30a4f8d71ab17e681cd68c418a4281d5bc3aa7445c7655167a06626fc5b1618b1ca71966457e755bc940c368463c46147882572f8e0ab6db317114d3d74",
"09/03/2025, 2:06 PM",Behavioural Analytics - Running,COMPLETED,camera_0037,O.B_Gr.F_Wash room,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756888617530_3b3d91a1-12b9-49b4-b6c9-9be1af07ef66.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/3b3d91a1-12b9-49b4-b6c9-9be1af07ef66_0037-3914208000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T083720Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=886d8c76ed5eed8d9d2a60fe3eb02064e1bd8554f7483e77940f59059e15c2391c209d4e3247f013f777042c96b3a1b8b572cc35ec3c9f2e4fefedf0407467744f788eb2c76f1acb4d2b44166e8390af4e7e3d6eaa665ce9fb86e92a1f128eff7efd0360c1426cbbd06cdaac0b15b63936daab58face4706b7792973254610d42dcb61679f193d3b142e49b751070cb0a021455cc49a0992879c633dbf97db1295e383a9650d18c53704d17397d22eac6efce1757b8db4a1d0f4cfd77d1058b7dd1e802fc358e17f60a8adccb006ffab4959a44de9965553b6705ceb5f2e45a74dcd713a7ad83c139afeeeb0bc40a529da8dce81f49ba3c824aa5ce2348ffe1a",
"09/03/2025, 2:06 PM",Vehicle Control - Stray Parking,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/ai_labelled/52d0be7b-bd01-441a-85fc-a3ffd119be07_09288d7a-7fc5-4135-acc9-a268c0d3e79a.jpeg
Video: https://storage.googleapis.com/profile-images-123/tatva_global_clips/7909970c-6541-462f-bee6-e9785ec227f1.mp4",
"09/03/2025, 2:01 PM",Vehicle Control - Stray Parking,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/ai_labelled/52d0be7b-bd01-441a-85fc-a3ffd119be07_e0eefddc-036f-4370-9d74-dd474f0d144b.jpeg
Video: https://storage.googleapis.com/profile-images-123/tatva_global_clips/e2181369-4e9c-4d7c-aaa8-2b7afb7510d6.mp4",
"09/03/2025, 2:00 PM",Vehicle Control - Stray Parking,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/ai_labelled/52d0be7b-bd01-441a-85fc-a3ffd119be07_b3b8d760-3207-46c3-858a-dbe56f8060db.jpeg
Video: https://storage.googleapis.com/profile-images-123/tatva_global_clips/9232d887-0548-4ea4-8ac7-9a4279d58aca.mp4",
"09/03/2025, 1:48 PM",Behavioural Analytics - Running,COMPLETED,camera_0038,O.B_Gr.F_Boys Washroom,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756887522829_cada8a65-16db-45ec-8010-b0d76e0596ac.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/cada8a65-16db-45ec-8010-b0d76e0596ac_0038-28115717940.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T081906Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=a4a93ed0826ea34089652ceaa589f62088ffda71db688da4c057ad7e6d8653ccfe12092c284f5e24995e5f94c02c6e351806eaf6c9b57b4de304b72c74664ebb63e3ba6a1506772a74ad9d000d9a65a717e08f57ce976bdc21ef96caf63a19b4ffc70bdf3b30686cd2acc72ed7ea1ff197cc6cb7b6700174f59b815e8157059ef18fbc74c42ef11948316e4742ab66e5aa89905e0a8d6f1ba1917cdfc7b6a6aa240e433382b4618729f660d4ed44d3b6d58f5d90c6df05f24e8f0aed27838b168de56230341d17d551e23d2332809566820d9ba0a3b859ea8c528afe970c0a48a0aa269aecda623f11c81699997460e551ccd9b345388a0df45a2d1df74d041d",
"09/03/2025, 1:47 PM",Behavioural Analytics - Ideal worker,COMPLETED,camera_0037,O.B_Gr.F_Wash room,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756887472269_3b3d91a1-12b9-49b4-b6c9-9be1af07ef66.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/3b3d91a1-12b9-49b4-b6c9-9be1af07ef66_0037-3810528000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T081816Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=4da6ae8f90ecf0a68489d25e351f9cf2b3bb4277374d831dafe46a4ec96b0e9941ed0bcccf03fdb1b544d28a34fc7f029df6fea3e18747252e4aa27dd84a9419f7feb6055f59c64e4c178d9212e4be77926b25d58b7891370f9a9a512f8d36578f340a2ab95ba83ec930be6f45c823ed40123caba655909e63cac50a95a3c10d7e324c5988fb0a022b0c38f7073587a47b38d2e76a703ea036fd3f89c7b5f4e86694f283603dee6fcb21df5d4803a7ca81c9e074a2a27986d93be83d32cc24b64e54fe05ba5e37036669e3e9fe553f1950ebeb8ba78bb54b67f98bf65cb31d5d672af7c473f6fe1dd9f782f4cac4e2f09df647f48bd28625efe224e70cfb2e31",
"09/03/2025, 1:46 PM",Vehicle Control - Stray Parking,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/ai_labelled/52d0be7b-bd01-441a-85fc-a3ffd119be07_f0ace963-0d66-4b78-ba57-71b78b542932.jpeg
Video: https://storage.googleapis.com/profile-images-123/tatva_global_clips/5b8c836c-4b4e-4b89-90a8-9cc908a7159f.mp4",
